Date,Open,High,Low,Close,Adj Close,Volume
27/09/16,517.525024,524.950012,516.674988,519.875,451.644684,6525660
28/09/16,520,521.150024,516.625,519.474976,451.29715,5434708
29/09/16,522.474976,522.474976,512,514.599976,447.061951,8902638
30/09/16,515.549988,521.950012,515.549988,518.025024,450.037445,6502354
03/10/16,517.75,520,513.049988,519.049988,450.927887,3656160
04/10/16,520,525.700012,519.150024,524.599976,455.749451,5066586
05/10/16,524.599976,524.924988,518.5,520.75,452.404785,2307574
06/10/16,522.5,522.5,512.974976,513.700012,446.28006,3721882
07/10/16,514.974976,516.900024,505.049988,506.274994,439.829498,6288558
10/10/16,508.5,515.875,505,514.974976,447.387726,5413170
13/10/16,510.700012,529,510.700012,526.174988,457.117767,9778690
14/10/16,526.450012,541.349976,498.125,513.575012,446.171478,33461690
17/10/16,517.474976,520.900024,508.674988,511.200012,444.108215,8014858
18/10/16,515,520.25,513.650024,519.525024,451.340607,6388134
19/10/16,521,522.849976,518,520.900024,452.535095,3509836
20/10/16,522.375,525.349976,516.900024,518.325012,450.298096,3535490
21/10/16,517.5,520.5,511.25,519.150024,460.793854,3863620
24/10/16,518.75,521.349976,512.75,513.549988,455.823334,2902974
25/10/16,518.25,519.450012,507.600006,508.600006,451.42981,5636014
26/10/16,508.5,509.924988,504.649994,507.100006,450.098358,2775216
27/10/16,508.950012,508.975006,500.549988,501.75,445.349792,7227790
28/10/16,502.600006,505,496.575012,498.75,442.686981,5840706
01/11/16,503.399994,503.399994,493.200012,494.725006,439.114441,6332798
02/11/16,492.399994,493.75,490,490.524994,435.386536,5377194
03/11/16,490.524994,491,482.549988,483.424988,429.084625,5225108
04/11/16,483.5,489.600006,480.5,485.5,430.926392,6005548
07/11/16,492.5,493,487.5,488.975006,434.010742,4537672
08/11/16,493.450012,493.875,485.299988,491.299988,436.074402,5261108
09/11/16,465,487.299988,450.5,479.149994,425.290192,12764158
10/11/16,481.25,481.25,467.5,469.700012,416.902466,7287330
11/11/16,470,472.5,459.350006,460.774994,408.980621,7096782
15/11/16,462,469.975006,454.274994,461.774994,409.868225,9235850
16/11/16,465,478.424988,464.274994,470.450012,417.568054,12222616
17/11/16,467.125,474.5,463.200012,464.899994,412.641937,5706730
18/11/16,465,466.625,458.75,460,408.292725,6040228
21/11/16,463.450012,463.450012,453.475006,455.549988,404.342957,7940568
22/11/16,458.450012,464.325012,455.825012,457.100006,405.71875,5483126
23/11/16,461.049988,461.450012,456.225006,460.125,408.403687,8251786
24/11/16,464.100006,469.950012,461.649994,465.149994,412.863892,16780644
25/11/16,465.225006,492.5,465.225006,488.75,433.811035,12631380
28/11/16,489.649994,491.725006,485.299988,489.875,434.80954,7365712
29/11/16,489.399994,492.350006,483.549988,486.299988,431.636414,6125506
30/11/16,486.5,488.5,480.524994,487.774994,432.945618,8500918
01/12/16,488,491.774994,483.5,487.799988,432.967804,4611590
02/12/16,482.399994,484.799988,480.549988,482.25,428.041718,4453228
05/12/16,482.950012,484.299988,479,480.825012,426.776886,3659576
06/12/16,480.899994,489.75,480.825012,483.25,428.929291,3562110
07/12/16,484,486.5,480.100006,483.200012,428.884949,3385980
08/12/16,485.024994,493.049988,485.024994,492.325012,436.984222,5941662
09/12/16,492.5,504.075012,490.75,494.674988,439.070007,8648384
12/12/16,491.399994,491.399994,482.600006,488.674988,433.744476,5345020
13/12/16,490.25,496.424988,485.549988,495.100006,439.447266,4854282
